DATE,SITE_TYPE,SITE_NUMBER,SITE_ID,SPECIES_CODE,PERCENT_PLANT_IN_PLOT,CANOPY_DIA_1_CM,CANOPY_DIA_2_CM,PLANT_HT_CM,HT_TO_TALLEST_BUDSCAR_CM,MICROPLOT_ID,NUMBER_STEMS_IN_MICROPLOT,PERCENT_DEAD,GENUS
2013-08-08T00:00:00Z,WC,1,WC1,DAFR,100,25,20,65,60,NA,NA,5,nonwillow
2013-08-08T00:00:00Z,WC,1,WC1,DAFR,90,100,55,95,90,NA,NA,5,nonwillow
2013-08-08T00:00:00Z,WC,1,WC1,SABE,100,60,60,80,75,NA,NA,5,willow
2013-08-08T00:00:00Z,WC,1,WC1,SALA,100,185,115,120,100,N,9,20,willow
2013-08-08T00:00:00Z,WC,1,WC1,SALA,100,85,80,150,140,NA,NA,10,willow
2013-08-08T00:00:00Z,WC,1,WC1,SALA,100,60,30,100,90,NA,NA,10,willow
2013-08-08T00:00:00Z,WC,1,WC1,SALA,100,50,15,80,60,NA,NA,20,willow
2013-08-08T00:00:00Z,WC,1,WC1,SALA,10,280,250,180,150,NA,NA,30,willow
2013-08-08T00:00:00Z,WC,1,WC1,SAMO,95,45,15,75,70,N,3,5,willow
2013-08-08T00:00:00Z,WC,1,WC1,SAPL,40,95,90,100,90,N,3,10,willow
2013-08-08T00:00:00Z,WC,1,WC1,SAPL,100,25,15,70,65,N,4,5,willow
2013-08-08T00:00:00Z,WC,1,WC1,SAPL,5,150,115,100,95,NA,NA,5,willow
2013-08-08T00:00:00Z,WC,1,WC1,SAPL,100,40,25,70,65,NA,NA,5,willow
2013-08-08T00:00:00Z,WC,1,WC1,SAPL,40,40,25,85,80,NA,NA,5,willow
2013-08-08T00:00:00Z,WC,1,WC1,SAPL,100,120,115,100,95,W,30,5,willow
2013-08-08T00:00:00Z,WC,1,WC1,SAPL,100,140,100,110,100,NA,NA,10,willow
2013-08-08T00:00:00Z,WC,1,WC1,SAPL,5,110,80,125,120,NA,NA,5,willow
2013-08-08T00:00:00Z,WC,1,WC1,SAPL,100,115,50,80,70,E,19,10,willow
2013-06-28T00:00:00Z,WC,2,WC2,BEGL,100,105,100,140,135,S,NA,5,nonwillow
2013-06-28T00:00:00Z,WC,2,WC2,DAFR,100,100,25,65,65,N,NA,0,nonwillow
2013-06-28T00:00:00Z,WC,2,WC2,DAFR,100,80,40,65,65,N,NA,0,nonwillow
2013-06-28T00:00:00Z,WC,2,WC2,DAFR,100,35,15,35,35,M,NA,0,nonwillow
2013-06-28T00:00:00Z,WC,2,WC2,DAFR,10,100,80,85,85,M,NA,0,nonwillow
2013-06-28T00:00:00Z,WC,2,WC2,DAFR,35,180,100,80,80,W,NA,0,nonwillow
2013-06-28T00:00:00Z,WC,2,WC2,DAFR,98,85,35,35,35,S,NA,0,nonwillow
2013-06-28T00:00:00Z,WC,2,WC2,DAFR,100,15,10,35,35,M,NA,0,nonwillow
2013-06-28T00:00:00Z,WC,2,WC2,DAFR,100,20,10,55,55,M,NA,0,nonwillow
2013-06-28T00:00:00Z,WC,2,WC2,DAFR,100,30,10,65,65,M,NA,0,nonwillow
2013-06-28T00:00:00Z,WC,2,WC2,DAFR,100,30,10,55,55,M,NA,0,nonwillow
2013-06-28T00:00:00Z,WC,2,WC2,DAFR,100,45,15,45,45,M,NA,0,nonwillow
2013-06-28T00:00:00Z,WC,2,WC2,SABE,30,80,50,130,120,N,6,10,willow
2013-06-28T00:00:00Z,WC,2,WC2,SAGE,100,70,40,90,85,S,5,5,willow
2013-06-28T00:00:00Z,WC,2,WC2,SAGE,10,85,50,85,75,M,NA,10,willow
2013-06-28T00:00:00Z,WC,2,WC2,SAMO,100,20,10,80,70,N,1,10,willow
2013-06-28T00:00:00Z,WC,2,WC2,SAMO,100,25,10,80,70,M,NA,10,willow
2013-06-28T00:00:00Z,WC,2,WC2,SAMO,100,25,20,80,60,M,NA,20,willow
2013-06-28T00:00:00Z,WC,2,WC2,SAMO,100,80,55,90,75,M,NA,15,willow
2013-06-28T00:00:00Z,WC,2,WC2,SAMO,100,75,55,105,90,M,NA,15,willow
2013-06-28T00:00:00Z,WC,2,WC2,SAMO,100,55,40,105,90,M,NA,15,willow
2013-06-28T00:00:00Z,WC,2,WC2,SAMO,100,180,145,155,145,E,3,10,willow
2013-06-28T00:00:00Z,WC,2,WC2,SAMO,50,85,55,105,100,M,NA,5,willow
2013-06-28T00:00:00Z,WC,2,WC2,SAMO,100,80,50,120,110,M,NA,10,willow
2013-06-28T00:00:00Z,WC,2,WC2,SAMO,20,80,30,100,90,E,7,10,willow
2013-06-28T00:00:00Z,WC,2,WC2,SAMO,90,90,35,120,110,E,9,10,willow
2013-06-28T00:00:00Z,WC,2,WC2,SAMO,95,310,210,160,150,W,30,10,willow
2013-06-28T00:00:00Z,WC,2,WC2,SAMO,60,30,20,110,100,M,NA,10,willow
2013-06-28T00:00:00Z,WC,2,WC2,SAPL,40,75,65,90,80,M,NA,10,willow
2013-06-28T00:00:00Z,WC,2,WC2,SAPL,100,45,30,85,80,E,4,5,willow
2013-06-27T00:00:00Z,WC,3,WC3,BEGL,100,95,90,125,115,E,NA,10,nonwillow
2013-06-27T00:00:00Z,WC,3,WC3,BEGL,90,90,65,100,95,E,NA,5,nonwillow
2013-06-27T00:00:00Z,WC,3,WC3,BEGL,80,70,20,120,110,NA,NA,10,nonwillow
2013-06-27T00:00:00Z,WC,3,WC3,BEGL,100,30,15,115,110,NA,NA,5,nonwillow
2013-06-27T00:00:00Z,WC,3,WC3,DAFR,100,20,10,50,45,NA,NA,5,nonwillow
2013-06-27T00:00:00Z,WC,3,WC3,DAFR,100,40,30,60,55,NA,NA,5,nonwillow
2013-06-27T00:00:00Z,WC,3,WC3,DAFR,80,110,65,95,90,E,NA,5,nonwillow
2013-06-27T00:00:00Z,WC,3,WC3,DAFR,100,105,45,80,75,NA,NA,5,nonwillow
2013-06-27T00:00:00Z,WC,3,WC3,DAFR,100,240,120,110,105,NA,NA,5,nonwillow
2013-06-27T00:00:00Z,WC,3,WC3,SAGE,95,250,140,185,175,W,2,10,willow
2013-06-27T00:00:00Z,WC,3,WC3,SAGE,35,165,130,130,125,W,7,5,willow
2013-06-27T00:00:00Z,WC,3,WC3,SAMO,60,95,45,95,90,S,2,5,willow
2013-06-27T00:00:00Z,WC,3,WC3,SAMO,90,90,75,145,105,S,3,40,willow
2013-06-27T00:00:00Z,WC,3,WC3,SAMO,100,95,45,90,85,NA,NA,5,willow
2013-06-27T00:00:00Z,WC,3,WC3,SAMO,100,65,40,85,80,NA,NA,5,willow
2013-06-27T00:00:00Z,WC,3,WC3,SAMO,98,80,55,120,115,NA,NA,5,willow
2013-06-27T00:00:00Z,WC,3,WC3,SAMO,100,60,55,115,110,NA,NA,5,willow
2013-06-27T00:00:00Z,WC,3,WC3,SAMO,1,20,15,75,60,NA,NA,15,willow
2013-06-27T00:00:00Z,WC,3,WC3,SAMO,100,95,40,140,135,N,4,5,willow
2013-06-27T00:00:00Z,WC,3,WC3,SAMO,40,340,300,210,205,N,20,5,willow
2013-06-27T00:00:00Z,WC,3,WC3,SAMO,100,80,55,130,125,NA,NA,5,willow
2013-06-27T00:00:00Z,WC,3,WC3,SAPL,100,100,45,95,85,NA,NA,10,willow
2013-06-27T00:00:00Z,WC,3,WC3,SAPL,30,130,70,110,105,W,3,5,willow
2013-06-26T00:00:00Z,WC,4,WC4,DAFR,99,85,50,75,75,NA,NA,0,nonwillow
2013-06-26T00:00:00Z,WC,4,WC4,DAFR,100,10,5,10,10,NA,NA,0,nonwillow
2013-06-26T00:00:00Z,WC,4,WC4,DAFR,100,15,5,10,10,NA,NA,0,nonwillow
2013-06-26T00:00:00Z,WC,4,WC4,DAFR,100,70,60,35,35,NA,NA,0,nonwillow
2013-06-26T00:00:00Z,WC,4,WC4,DAFR,100,40,40,55,50,NA,NA,5,nonwillow
2013-06-26T00:00:00Z,WC,4,WC4,DAFR,100,10,5,40,35,NA,NA,5,nonwillow
2013-06-26T00:00:00Z,WC,4,WC4,DAFR,50,15,10,15,10,NA,NA,5,nonwillow
2013-06-26T00:00:00Z,WC,4,WC4,DAFR,50,25,25,50,50,NA,NA,0,nonwillow
2013-06-26T00:00:00Z,WC,4,WC4,SABE,90,65,62,110,105,NA,NA,5,willow
2013-06-26T00:00:00Z,WC,4,WC4,SAMO,100,190,130,170,165,NA,NA,5,willow
2013-06-26T00:00:00Z,WC,4,WC4,SAMO,50,370,350,190,185,E,30,5,willow
2013-06-26T00:00:00Z,WC,4,WC4,SAMO,25,240,230,150,145,W,15,5,willow
2013-08-08T00:00:00Z,WC,6,WC6,DAFR,100,85,50,55,50,NA,NA,5,nonwillow
2013-08-08T00:00:00Z,WC,6,WC6,DAFR,100,25,10,25,20,NA,NA,5,nonwillow
2013-08-08T00:00:00Z,WC,6,WC6,DAFR,100,40,25,50,25,NA,NA,25,nonwillow
2013-08-08T00:00:00Z,WC,6,WC6,DAFR,100,20,10,35,25,NA,NA,10,nonwillow
2013-08-08T00:00:00Z,WC,6,WC6,DAFR,100,25,10,35,25,NA,NA,10,nonwillow
2013-08-08T00:00:00Z,WC,6,WC6,SAGE,30,190,130,145,120,NA,NA,25,willow
2013-08-08T00:00:00Z,WC,6,WC6,SAMO,100,140,140,135,105,S,7,30,willow
2013-08-08T00:00:00Z,WC,6,WC6,SAMO,100,35,25,55,45,NA,NA,10,willow
