SITE_TYPE,SITE_NUMBER,SITE_ID,FENCED,LOCATION,DATE,DOMINANT_WILLOW_TYPE,ECOSYSTEM_TYPE,PREDOMINANT_HERB_SPECIES_1,PREDOMINANT_HERB_SPECIES_2,BEAVER_PRESENCE,CORNER_POINT,UTM_E_NAD83,UTM_N_NAD83,GPS_ACCURACY_M,SLOPE_PERCENT,ASPECT,ELEVATION_M,COMMENTS,BURNED,BURN_YEAR
WC,1,WC1,Y,Horseshoe_Park,2008-10-14T00:00:00Z,short_young,marsh_wet_meadow,Carex,NA,None,Center,446949,4472402,5,0,F,2606,"hard_to_identify_species,_leaf_drop",NA,NA
WC,1,WC1,NA,NA,NA,NA,NA,NA,NA,NA,N,446954,4472400,NA,NA,NA,NA,NA,NA,NA
WC,1,WC1,NA,NA,NA,NA,NA,NA,NA,NA,E,446955,4472398,NA,NA,NA,NA,NA,NA,NA
WC,1,WC1,NA,NA,NA,NA,NA,NA,NA,NA,S,446949,4472399,NA,NA,NA,NA,NA,NA,NA
WC,1,WC1,NA,NA,NA,NA,NA,NA,NA,NA,W,446949,4472398,NA,NA,NA,NA,NA,NA,NA
WC,2,WC2,Y,Horseshoe_Park,2008-10-14T00:00:00Z,short_young_shrot_old,dry_meadow,Carex,NA,tracks/scat,Center,448277,4472501,4,0,F,2595,NA,NA,NA
WC,2,WC2,NA,NA,NA,NA,NA,NA,NA,NA,N,448272,4472503,NA,NA,NA,NA,NA,NA,NA
WC,2,WC2,NA,NA,NA,NA,NA,NA,NA,NA,E,448280,4472502,NA,NA,NA,NA,NA,NA,NA
WC,2,WC2,NA,NA,NA,NA,NA,NA,NA,NA,S,448276,4472498,NA,NA,NA,NA,NA,NA,NA
WC,2,WC2,NA,NA,NA,NA,NA,NA,NA,NA,W,448272,4472501,NA,NA,NA,NA,NA,NA,NA
WC,3,WC3,Y,Horseshoe_Park,2008-10-14T00:00:00Z,intermediate_short_old,dry_meadow,Carex,NA,None,Center,448085,4472413,5,0,F,2603,spruce_outside_S_and_E_sides_of_plot,NA,NA
WC,3,WC3,NA,NA,NA,NA,NA,NA,NA,NA,N,448087,4472419,NA,NA,NA,NA,NA,NA,NA
WC,3,WC3,NA,NA,NA,NA,NA,NA,NA,NA,E,448089,4472417,NA,NA,NA,NA,NA,NA,NA
WC,3,WC3,NA,NA,NA,NA,NA,NA,NA,NA,S,448086,4472413,NA,NA,NA,NA,NA,NA,NA
WC,3,WC3,NA,NA,NA,NA,NA,NA,NA,NA,W,448083,4472416,NA,NA,NA,NA,NA,NA,NA
WC,4,WC4,Y,Horseshoe_Park,2008-10-14T00:00:00Z,short_young_short_old,riparian,Grass,NA,scat,Center,448012,4472375,5,0,F,2593,near_white_pipe,NA,NA
WC,4,WC4,NA,NA,NA,NA,NA,NA,NA,NA,N,448011,4472377,NA,NA,NA,NA,NA,NA,NA
WC,4,WC4,NA,NA,NA,NA,NA,NA,NA,NA,E,448011,4472377,NA,NA,NA,NA,NA,NA,NA
WC,4,WC4,NA,NA,NA,NA,NA,NA,NA,NA,S,448010,4472369,NA,NA,NA,NA,NA,NA,NA
WC,4,WC4,NA,NA,NA,NA,NA,NA,NA,NA,W,448008,4472373,NA,NA,NA,NA,NA,NA,NA
WC,5,WC5,N,Fan_Lake,2008-10-15T00:00:00Z,short_young,dry_meadow_rocky_area,Juncus,NA,None,Center,445954,4473305,4,0,F,2613,along_E_side_of_exclosure,NA,NA
WC,5,WC5,NA,NA,NA,NA,NA,NA,NA,NA,N,445954,4473310,NA,NA,NA,NA,NA,NA,NA
WC,5,WC5,NA,NA,NA,NA,NA,NA,NA,NA,E,445960,4473306,NA,NA,NA,NA,NA,NA,NA
WC,5,WC5,NA,NA,NA,NA,NA,NA,NA,NA,S,445950,4473306,NA,NA,NA,NA,NA,NA,NA
WC,5,WC5,NA,NA,NA,NA,NA,NA,NA,NA,W,445952,4473309,NA,NA,NA,NA,NA,NA,NA
WC,6,WC6,Y,Fan_Lake,2008-10-15T00:00:00Z,short_young,riparian_dry_meadow,Grass,NA,None,Center,445763,4473259,6,0,F,2614,opposite_gate,NA,NA
WC,6,WC6,NA,NA,NA,NA,NA,NA,NA,NA,N,445760,4473252,NA,NA,NA,NA,NA,NA,NA
WC,6,WC6,NA,NA,NA,NA,NA,NA,NA,NA,E,445760,4473254,NA,NA,NA,NA,NA,NA,NA
WC,6,WC6,NA,NA,NA,NA,NA,NA,NA,NA,S,445760,4473255,NA,NA,NA,NA,NA,NA,NA
WC,6,WC6,NA,NA,NA,NA,NA,NA,NA,NA,W,445759,4473255,NA,NA,NA,NA,NA,NA,NA
WC,7,WC7,Y,Fan_Lake,2008-10-15T00:00:00Z,none,dry_meadow,Grass,NA,None,Center,445511,4473459,5,10,N,2612,along_N_boundary_of_exclosure,NA,NA
WC,7,WC7,NA,NA,NA,NA,NA,NA,NA,NA,N,445513,4473459,NA,NA,NA,NA,NA,NA,NA
WC,7,WC7,NA,NA,NA,NA,NA,NA,NA,NA,E,445516,4473459,NA,NA,NA,NA,NA,NA,NA
WC,7,WC7,NA,NA,NA,NA,NA,NA,NA,NA,S,445512,4473457,NA,NA,NA,NA,NA,NA,NA
WC,7,WC7,NA,NA,NA,NA,NA,NA,NA,NA,W,445509,4473458,NA,NA,NA,NA,NA,NA,NA
WC,8,WC8,Y,Fan_Lake,2008-10-15T00:00:00Z,short_young,riparian_dry_meadow,Carex_aquatilis,NA,None,Center,445671,4473369,7,10,N,2612,in_line_with_pullout,NA,NA
WC,8,WC8,NA,NA,NA,NA,NA,NA,NA,NA,N,445668,4473374,NA,NA,NA,NA,NA,NA,NA
WC,8,WC8,NA,NA,NA,NA,NA,NA,NA,NA,E,445670,4453370,NA,NA,NA,NA,NA,NA,NA
WC,8,WC8,NA,NA,NA,NA,NA,NA,NA,NA,S,445671,4473367,NA,NA,NA,NA,NA,NA,NA
WC,8,WC8,NA,NA,NA,NA,NA,NA,NA,NA,W,445673,4473373,NA,NA,NA,NA,NA,NA,NA
WC,9,WC9,N?,Horseshoe_Park,2008-10-15T00:00:00Z,intermediate_tall,riparian,Grass,NA,None,Center,447089,4472367,5,NA,NA,2605,NA,NA,NA
WC,9,WC9,NA,NA,NA,NA,NA,NA,NA,NA,N,447094,4472639,NA,NA,NA,NA,NA,NA,NA
WC,9,WC9,NA,NA,NA,NA,NA,NA,NA,NA,E,447092,4472636,NA,NA,NA,NA,NA,NA,NA
WC,9,WC9,NA,NA,NA,NA,NA,NA,NA,NA,S,447093,4472634,NA,NA,NA,NA,NA,NA,NA
WC,9,WC9,NA,NA,NA,NA,NA,NA,NA,NA,W,447091,4472636,NA,NA,NA,NA,NA,NA,NA
WC,10,WC10,Y,Horseshoe_Park,2008-10-16T00:00:00Z,intermediate,riparian,Carex,NA,scat,Center,447134,4472576,5,0,F,2608,NA,NA,NA
WC,10,WC10,NA,NA,NA,NA,NA,NA,NA,NA,N,447135,4472575,NA,NA,NA,NA,NA,NA,NA
WC,10,WC10,NA,NA,NA,NA,NA,NA,NA,NA,E,447142,4472574,NA,NA,NA,NA,NA,NA,NA
WC,10,WC10,NA,NA,NA,NA,NA,NA,NA,NA,S,447139,4472571,NA,NA,NA,NA,NA,NA,NA
WC,10,WC10,NA,NA,NA,NA,NA,NA,NA,NA,W,447134,4472573,NA,NA,NA,NA,NA,NA,NA
WC,11,WC11,Y,Fan_Lake,2008-10-16T00:00:00Z,short_young,riparian_dry_meadow_rocky_,None,NA,None,Center,445949,4473326,8,0,F,2610,NA,NA,NA
WC,11,WC11,NA,NA,NA,NA,NA,NA,NA,NA,N,445948,4473330,NA,NA,NA,NA,NA,NA,NA
WC,11,WC11,NA,NA,NA,NA,NA,NA,NA,NA,E,445952,4473325,NA,NA,NA,NA,NA,NA,NA
WC,11,WC11,NA,NA,NA,NA,NA,NA,NA,NA,S,445941,4473320,NA,NA,NA,NA,NA,NA,NA
WC,11,WC11,NA,NA,NA,NA,NA,NA,NA,NA,W,445937,4473319,NA,NA,NA,NA,NA,NA,NA
WC,12,WC12,N,Endovalley,2008-10-16T00:00:00Z,intermediate_tall,riparian,Carex,Grass,None,Center,445195,4473450,5,0,F,2613,"near_water_by_red_""danger""_sign",NA,NA
WC,12,WC12,NA,NA,NA,NA,NA,NA,NA,NA,N,445195,4473449,NA,NA,NA,NA,NA,NA,NA
WC,12,WC12,NA,NA,NA,NA,NA,NA,NA,NA,E,445200,4473442,NA,NA,NA,NA,NA,NA,NA
WC,12,WC12,NA,NA,NA,NA,NA,NA,NA,NA,S,445200,4473442,NA,NA,NA,NA,NA,NA,NA
WC,12,WC12,NA,NA,NA,NA,NA,NA,NA,NA,W,445196,4473444,NA,NA,NA,NA,NA,NA,NA
WC,13,WC13,N,Endovalley,2008-10-20T00:00:00Z,intermediate,riparian,Polypogon,Grass,None,Center,445225,4473626,7,0,F,NA,NA,NA,NA
WC,13,WC13,NA,NA,NA,NA,NA,NA,NA,NA,N,445222,4473624,NA,NA,NA,NA,NA,NA,NA
WC,13,WC13,NA,NA,NA,NA,NA,NA,NA,NA,E,445230,4473622,NA,NA,NA,NA,NA,NA,NA
WC,13,WC13,NA,NA,NA,NA,NA,NA,NA,NA,S,445226,4473619,NA,NA,NA,NA,NA,NA,NA
