SITE_TYPE,SITE_NUMBER,SITE_ID,LOCATION,DATE,FENCED,DOMINANT_WILLOW_TYPE,ECOSYSTEM_TYPE,PREDOMINANT_HERB_SPECIES_1,PREDOMINANT_HERB_SPECIES_2,BEAVER_PRESENCE,BURNED,BURN_YEAR,BURN_SEVERITY,COMMENTS
WC,32,WC32,Moraine_Park,2016-05-24T00:00:00Z,N,no_willow,dry_meadow,Bromus_inermis,NA,none,N,NA,Not_Burned,NA
WC,34,WC34,Moraine_Park,2016-05-24T00:00:00Z,N,sapling,dry_meadow,Bromus_inermis,NA,none,Y,2012,Completely,NA
WC,35,WC35,Moraine_Park,2016-05-24T00:00:00Z,N,no_willow,dry_meadow,Bromus_inermis,NA,none,Y,2012,Completely,NA
WC,37,WC37,Moraine_Park,2016-05-24T00:00:00Z,Y,short_young,dry_meadow,Bromus_inermis,NA,none,Y,2012,Completely,NA
WC,38,WC38,Moraine_Park,2016-05-26T00:00:00Z,Y,short_young,dry_meadow,Bromus_inermis,NA,none,Y,2012,Completely,All_pins_present
WC,55,WC55,Moraine_Park,2016-05-19T00:00:00Z,N,sapling,dry_meadow,Bromus_inermis,NA,none,Y,2012,Moderately_to_Completely,NA
WC,56,WC56,Moraine_Park,2016-05-19T00:00:00Z,N,sapling,dry_meadow,Carex_spp.,Bromus_inermis,none,Y,2012,Completely,NA
WC,57,WC57,Moraine_Park,2016-06-01T00:00:00Z,N,sapling,riparian,Carex_spp.,NA,none,Y,2012,Moderately_to_Completely,NA
WC,62,WC62,Moraine_Park,2016-06-28T00:00:00Z,N,intermediate,riparian,Bromus_inermis,Carex_spp.,none,N,NA,Not_Burned,NA
WC,64,WC64,Moraine_Park,2016-06-08T00:00:00Z,Y,short_young,riparian,Bromus_inermis,Carex_spp.,none,N,NA,Not_Burned,NA
WC,65,WC65,Moraine_Park,2016-06-08T00:00:00Z,Y,short_young,riparian,Bromus_inermis,Angelica_spp.,none,N,NA,Not_Burned,NA
WC,66,WC66,Moraine_Park,2016-06-08T00:00:00Z,Y,intermediate,riparian,Bromus_inermis,NA,none,N,NA,Not_Burned,NA
WC,67,WC67,Moraine_Park,2016-06-08T00:00:00Z,Y,intermediate,riparian,Carex_spp.,Bromus_inermis,none,N,NA,Not_Burned,NA
WC,68,WC68,Moraine_Park,2016-05-31T00:00:00Z,N,sapling,riparian,Bromus_inermis,Fragaria_virginiana,none,N,NA,Not_Burned,NA
WC,69,WC69,Moraine_Park,2016-05-31T00:00:00Z,N,intermediate,riparian,Bromus_inermis,NA,none,N,NA,Not_Burned,NA
WC,70,WC70,Moraine_Park,2016-05-31T00:00:00Z,N,intermediate,riparian,Bromus_inermis,Juncus_spp.,none,N,NA,Not_Burned,Old_cut_aspen
WC,71,WC71,Moraine_Park,2016-05-26T00:00:00Z,N,short_old,dry_meadow,Poa_spp.,NA,cuttings,N,NA,Not_Burned,All_pins_present._Some_old_and_possible_new_beaver_cuttings
WC,72,WC72,Moraine_Park,2016-06-01T00:00:00Z,N,intermediate,riparian,Bromus_inermis,Phleum_pratense,cuttings,N,NA,Not_Burned,Old_and_new_beaver_cuttings
WC,74,WC74,Moraine_Park,2016-06-06T00:00:00Z,N,short_old,riparian,Bromus_inermis,NA,none,N,NA,Not_Burned,NA
WC,76,WC76,Moraine_Park,2016-05-24T00:00:00Z,Y,sapling,riparian,Bromus_inermis,Carex_spp.,none,Y,2012,Completely,Willow_restoration_site
WC,78,WC78,Moraine_Park,2016-05-26T00:00:00Z,N,intermediate,dry_meadow,Poa_spp.,NA,none,Y,2012,Moderately_to_Completely,NA
WC,79,WC79,Moraine_Park,2016-06-07T00:00:00Z,Y,short_young,wet_meadow,Bromus_inermis,NA,none,Y,2012,Completely,NA
