DATE,SITE_TYPE,SITE_NUMBER,SITE_ID,SPECIES_CODE,PERCENT_PLANT_IN_PLOT,CANOPY_DIA_1_CM,CANOPY_DIA_2_CM,PLANT_HT_CM,HT_TO_TALLEST_BUDSCAR_CM,GENUS
2018-06-19T00:00:00Z,WC,1,WC1,DAFR,95,95,40,70,60,nonwillow
2018-06-19T00:00:00Z,WC,1,WC1,DAFR,100,95,30,70,65,nonwillow
2018-06-19T00:00:00Z,WC,1,WC1,SABE,5,250,210,170,155,willow
2018-06-19T00:00:00Z,WC,1,WC1,SABO,100,40,25,85,85,willow
2018-06-19T00:00:00Z,WC,1,WC1,SABO,5,80,75,190,180,willow
2018-06-19T00:00:00Z,WC,1,WC1,SABO,100,60,40,115,110,willow
2018-06-19T00:00:00Z,WC,1,WC1,SABO,100,70,50,105,100,willow
2018-06-19T00:00:00Z,WC,1,WC1,SABO,100,65,55,185,175,willow
2018-06-19T00:00:00Z,WC,1,WC1,SAGE,95,140,85,95,95,willow
2018-06-19T00:00:00Z,WC,1,WC1,SAGE,95,15,10,35,30,willow
2018-06-19T00:00:00Z,WC,1,WC1,SAGE,100,25,20,50,50,willow
2018-06-19T00:00:00Z,WC,1,WC1,SAGE,65,65,45,95,90,willow
2018-06-19T00:00:00Z,WC,1,WC1,SAGE,100,35,10,55,50,willow
2018-06-19T00:00:00Z,WC,1,WC1,SAGE,100,25,25,60,55,willow
2018-06-19T00:00:00Z,WC,1,WC1,SAPL,100,130,90,120,115,willow
2018-06-19T00:00:00Z,WC,1,WC1,SAPL,100,10,5,60,55,willow
2018-06-19T00:00:00Z,WC,1,WC1,SAPL,100,110,90,125,125,willow
2018-06-19T00:00:00Z,WC,1,WC1,SAPL,95,20,15,60,55,willow
2018-06-19T00:00:00Z,WC,1,WC1,SAPL,95,20,20,60,55,willow
2018-06-19T00:00:00Z,WC,1,WC1,SAPL,95,20,15,70,65,willow
2018-06-19T00:00:00Z,WC,1,WC1,SAPL,100,100,80,105,100,willow
2018-06-19T00:00:00Z,WC,1,WC1,SAPL,100,30,20,95,90,willow
2018-06-19T00:00:00Z,WC,1,WC1,SAPL,100,45,35,80,80,willow
2018-06-19T00:00:00Z,WC,1,WC1,SAPL,100,120,100,125,125,willow
2018-06-19T00:00:00Z,WC,1,WC1,SAPL,95,10,10,60,60,willow
2018-06-19T00:00:00Z,WC,1,WC1,SAPL,100,15,10,65,60,willow
2018-06-19T00:00:00Z,WC,1,WC1,SAPL,100,165,150,130,120,willow
2018-06-19T00:00:00Z,WC,1,WC1,SAPL,100,15,15,85,80,willow
2018-06-19T00:00:00Z,WC,1,WC1,SAPL,100,20,15,40,30,willow
2018-07-17T00:00:00Z,WC,2,WC2,BEGL,95,180,165,255,225,nonwillow
2018-07-17T00:00:00Z,WC,2,WC2,DAFR,100,75,50,80,70,nonwillow
2018-07-17T00:00:00Z,WC,2,WC2,DAFR,100,25,10,70,60,nonwillow
2018-07-17T00:00:00Z,WC,2,WC2,DAFR,100,65,50,100,80,nonwillow
2018-07-17T00:00:00Z,WC,2,WC2,DAFR,100,15,10,55,30,nonwillow
2018-07-17T00:00:00Z,WC,2,WC2,DAFR,100,30,10,65,50,nonwillow
2018-07-17T00:00:00Z,WC,2,WC2,DAFR,50,75,15,60,35,nonwillow
2018-07-17T00:00:00Z,WC,2,WC2,SABE,60,110,105,200,185,willow
2018-07-17T00:00:00Z,WC,2,WC2,SABE,100,75,70,185,165,willow
2018-07-17T00:00:00Z,WC,2,WC2,SABE,20,120,115,230,200,willow
2018-07-17T00:00:00Z,WC,2,WC2,SABE,95,135,105,200,185,willow
2018-07-17T00:00:00Z,WC,2,WC2,SABE,100,50,40,215,195,willow
2018-07-17T00:00:00Z,WC,2,WC2,SABE,100,90,75,205,185,willow
2018-07-17T00:00:00Z,WC,2,WC2,SABE,100,105,70,175,155,willow
2018-07-17T00:00:00Z,WC,2,WC2,SABE,10,120,120,200,165,willow
2018-07-17T00:00:00Z,WC,2,WC2,SAGE,25,180,60,180,140,willow
2018-07-17T00:00:00Z,WC,2,WC2,SAGE,100,100,85,195,165,willow
2018-07-17T00:00:00Z,WC,2,WC2,SAGE,100,80,40,130,95,willow
2018-07-17T00:00:00Z,WC,2,WC2,SAMO,5,90,80,175,150,willow
2018-07-17T00:00:00Z,WC,2,WC2,SAMO,10,90,85,140,130,willow
2018-07-17T00:00:00Z,WC,2,WC2,SAMO,50,85,80,225,200,willow
2018-07-17T00:00:00Z,WC,2,WC2,SAMO,95,70,40,205,175,willow
2018-07-17T00:00:00Z,WC,2,WC2,SAMO,40,95,80,170,150,willow
2018-07-17T00:00:00Z,WC,2,WC2,SAMO,100,100,70,160,150,willow
2018-07-17T00:00:00Z,WC,2,WC2,SAMO,100,65,45,110,100,willow
2018-07-17T00:00:00Z,WC,2,WC2,SAMO,100,10,10,40,35,willow
2018-07-17T00:00:00Z,WC,2,WC2,SAMO,100,180,110,225,210,willow
2018-07-17T00:00:00Z,WC,2,WC2,SAMO,100,55,45,235,220,willow
2018-07-17T00:00:00Z,WC,2,WC2,SAMO,100,135,100,215,200,willow
2018-07-17T00:00:00Z,WC,2,WC2,SAMO,100,60,40,165,145,willow
2018-07-17T00:00:00Z,WC,2,WC2,SAMO,100,130,125,215,195,willow
2018-07-17T00:00:00Z,WC,2,WC2,SAMO,100,250,90,230,210,willow
2018-07-17T00:00:00Z,WC,2,WC2,SAMO,100,60,60,140,120,willow
2018-07-17T00:00:00Z,WC,2,WC2,SAMO,100,170,125,225,210,willow
2018-07-17T00:00:00Z,WC,2,WC2,SAMO,100,110,110,195,180,willow
2018-07-17T00:00:00Z,WC,2,WC2,SAMO,100,135,115,250,225,willow
2018-07-17T00:00:00Z,WC,2,WC2,SAMO,100,150,115,255,230,willow
2018-07-17T00:00:00Z,WC,2,WC2,SAMO,100,140,75,260,245,willow
2018-07-17T00:00:00Z,WC,2,WC2,SAMO,40,150,90,245,210,willow
2018-07-17T00:00:00Z,WC,2,WC2,SAMO,50,145,85,215,190,willow
2018-07-17T00:00:00Z,WC,2,WC2,SAMO,80,100,70,235,210,willow
2018-07-17T00:00:00Z,WC,2,WC2,SAMO,30,175,135,255,235,willow
2018-07-17T00:00:00Z,WC,2,WC2,SAMO,100,80,65,215,200,willow
2018-07-17T00:00:00Z,WC,2,WC2,SAMO,100,160,105,225,200,willow
2018-07-17T00:00:00Z,WC,2,WC2,SAMO,5,230,230,210,195,willow
2018-06-20T00:00:00Z,WC,3,WC3,BEGL,95,185,120,165,160,nonwillow
2018-06-20T00:00:00Z,WC,3,WC3,BEGL,85,100,75,130,125,nonwillow
2018-06-20T00:00:00Z,WC,3,WC3,DAFR,100,175,130,115,110,nonwillow
2018-06-20T00:00:00Z,WC,3,WC3,DAFR,100,95,30,55,50,nonwillow
2018-06-20T00:00:00Z,WC,3,WC3,DAFR,100,60,45,75,70,nonwillow
2018-06-20T00:00:00Z,WC,3,WC3,RICE,65,85,75,110,105,nonwillow
2018-06-20T00:00:00Z,WC,3,WC3,SABE,50,160,120,190,185,willow
2018-06-20T00:00:00Z,WC,3,WC3,SABE,55,85,50,130,125,willow
2018-06-20T00:00:00Z,WC,3,WC3,SAGE,100,220,190,260,295,willow
2018-06-20T00:00:00Z,WC,3,WC3,SAGE,100,90,65,205,195,willow
2018-06-20T00:00:00Z,WC,3,WC3,SAGE,70,230,155,195,185,willow
2018-06-20T00:00:00Z,WC,3,WC3,SAMO,100,125,100,195,180,willow
2018-06-20T00:00:00Z,WC,3,WC3,SAMO,100,60,45,170,155,willow
2018-06-20T00:00:00Z,WC,3,WC3,SAMO,100,110,90,185,165,willow
2018-06-20T00:00:00Z,WC,3,WC3,SAMO,75,150,110,210,205,willow
2018-06-20T00:00:00Z,WC,3,WC3,SAMO,55,155,130,235,230,willow
2018-06-20T00:00:00Z,WC,3,WC3,SAMO,100,120,95,155,150,willow
2018-06-20T00:00:00Z,WC,3,WC3,SAMO,100,150,135,160,150,willow
2018-06-20T00:00:00Z,WC,3,WC3,SAMO,100,130,115,145,130,willow
2018-06-20T00:00:00Z,WC,3,WC3,SAMO,100,105,100,140,130,willow
2018-06-20T00:00:00Z,WC,3,WC3,SAMO,100,75,65,155,145,willow
2018-06-20T00:00:00Z,WC,3,WC3,SAPL,100,115,105,190,175,willow
2018-06-20T00:00:00Z,WC,3,WC3,SAPL,50,150,100,195,185,willow
2018-06-20T00:00:00Z,WC,4,WC4,DAFR,50,15,5,25,20,nonwillow
2018-06-20T00:00:00Z,WC,4,WC4,DAFR,100,25,15,55,50,nonwillow
2018-06-20T00:00:00Z,WC,4,WC4,DAFR,100,15,5,20,15,nonwillow
2018-06-20T00:00:00Z,WC,4,WC4,DAFR,100,100,75,55,55,nonwillow
2018-06-20T00:00:00Z,WC,4,WC4,DAFR,60,20,10,30,30,nonwillow
2018-06-20T00:00:00Z,WC,4,WC4,DAFR,90,45,30,55,50,nonwillow
2018-06-20T00:00:00Z,WC,4,WC4,DAFR,100,20,15,35,30,nonwillow
2018-06-20T00:00:00Z,WC,4,WC4,SABE,90,85,75,155,145,willow
2018-06-20T00:00:00Z,WC,4,WC4,SAMO,25,440,340,270,260,willow
2018-06-20T00:00:00Z,WC,4,WC4,SAMO,100,270,260,235,230,willow
2018-06-20T00:00:00Z,WC,4,WC4,SAPL,25,275,250,190,180,willow
2018-06-20T00:00:00Z,WC,9,WC9,DAFR,100,55,30,65,65,nonwillow
2018-06-20T00:00:00Z,WC,9,WC9,DAFR,100,25,10,50,45,nonwillow
2018-06-20T00:00:00Z,WC,9,WC9,DAFR,100,55,15,55,45,nonwillow
2018-06-20T00:00:00Z,WC,9,WC9,SABE,40,95,85,210,205,willow
2018-06-20T00:00:00Z,WC,9,WC9,SABE,50,55,20,175,165,willow
2018-06-20T00:00:00Z,WC,9,WC9,SABE,50,65,30,160,150,willow
2018-06-20T00:00:00Z,WC,9,WC9,SABE,10,40,30,100,90,willow
