SITE_TYPE,SITE_NUMBER,SITE_ID,LOCATION,DATE,FENCED,DOMINANT_WILLOW_TYPE,ECOSYSTEM_TYPE,PREDOMINANT_HERB_SPECIES_1,PREDOMINANT_HERB_SPECIES_2,BEAVER_PRESENCE,MOOSE_PRESENCE,UTM_E_NAD83,UTM_N_NAD83,GPS_ACCURACY_M,BURNED,BURN_YEAR,BURN_SEVERITY,COMMENTS
WC,1,WC1,Horseshoe_Park,2018-06-19T00:00:00Z,Y,Intermediate,Marsh,Carex_spp.,NA,Absence_,Absence_,446951,4472400,NA,N,NA,NA,All_pins_present._Very_wet_and_marshy
WC,2,WC2,Horseshoe_Park,2018-07-17T00:00:00Z,Y,Intermediate,Wet_Meadow,Calamagrostis_spp.,Heracleum_spp.,Food_cache_cuttings,Absence_,448273,4472498,3,N,NA,NA,All_pins_present._Beaver_lodge/den_along_the_river_at_the_east_end_of_the_exclosure_
WC,3,WC3,Horseshoe_Park,2018-06-20T00:00:00Z,Y,Intermediate,Dry_Meadow_,Calamagrostis_spp.,Balsamorhiza_sagittata,Absence_,Absence_,448084,4472416,3.75,N,NA,NA,All_pins_present._Potential_wasp_nest_near_the_big_spruce_tree_we_hiked_in_from_the_west_horseshoe_parking_lot_and_then_we_rolled_under_the_fence_
WC,4,WC4,Horseshoe_Park,2018-06-20T00:00:00Z,Y,Intermediate,Dry_Meadow_,Bromus_spp.,Solidago_spp.,Absence_,Absence_,448012,4472375,3,N,NA,NA,All_pins_present._Parked_at_west_Horshoe_parking_lot_and_hiked_to_plot._Had_to_roll_under_fence_there_is_no_gate_on_this_side_of_the_river_Plot_is_on_the_South_side_of_the_main_river_and_west_of_small_inlet._East_pin_located_between_two_large_SAMO
WC,9,WC9,Horseshoe_Park,2018-06-20T00:00:00Z,Y,Tall,Dry_Meadow_,Carex_spp.,NA,Absence_,Absence_,447086,4472636,NA,N,NA,NA,All_pins_present.
WC,10,WC10,Horseshoe_Park,2018-07-19T00:00:00Z,Y,Tall,Riparian_,Mertensia_lanceolata,NA,Absence_,Absence_,447137,4472575,7,N,NA,NA,Only_found_the_S_pin_resent_the_N_E_and_W_pins._Plot_is_NE_of_river_with_the_W_pin_about_10ft_east_of_river._This_plot_is_very_thick_hard_to_get_to_and_hard_to_work_at._Some_downed_logs_on_N_and_W_side_of_plot_with_sandy_pathways_inside.
WC,12,WC12,Endovalley,2018-06-14T00:00:00Z,N,Intermediate,Dry_Meadow_,Bromus_spp.,Poa_pratensis,Absence_,Browse,445199,4473442,NA,N,NA,NA,All_pins_present.
WC,13,WC13,Endovalley,2018-06-13T00:00:00Z,N,Short_old,Dry_Meadow_,Poa_spp.,Dodecatheon_spp.,Absence_,Browse,445229,4473620,3,N,NA,NA,All_pins_present.
WC,14,WC14,Endovalley,2018-06-19T00:00:00Z,N,Short_old,Marsh,Juncus_spp.,NA,Absence_,Browse,446300,4473324,3,N,NA,NA,All_pins_present.
WC,15,WC15,Endovalley,2018-06-14T00:00:00Z,N,Short_old,Dry_Meadow_,bromus_inermis,NA,Absence_,Browse,445046,4473536,2,N,NA,NA,All_pins_present._
WC,16,WC16,Endovalley,2018-06-19T00:00:00Z,Y,Intermediate,Riparian_,Carex_spp.,NA,Absence_,Absence_,447178,4472426,3,N,NA,NA,All_pins_present._S_pin_was_buried_2_inches_and_E_pin_is_under_water_a_few_inches
WC,17,WC17,Endovalley,2018-06-14T00:00:00Z,N,Short_young,Dry_Meadow_,Bromus_spp.,Carex_spp.,Absence_,Browse,444617,4473831,NA,N,NA,NA,Plot_found_after_5+_years_of_being_missing._West_pin_was_replaced._Lots_of_small_willow_and_alder_
WC,18,WC18,Endovalley,2018-06-15T00:00:00Z,N,Short_old,Marsh,Carex_aquatilis,NA,Absence_,Browse,446343,4473189,NA,N,NA,NA,All_pins_present.
WC,19,WC19,Endovalley,2018-06-07T00:00:00Z,N,Tall,Riparian_,Bromus_inermis,NA,Absence_,Browse,446920,4472937,2,N,NA,NA,All_pins_present._S_pin_on_backside_of_large_SAMO_fishermans_access_trail_through_center_of_plot.
WC,20,WC20,Horseshoe_Park,2018-06-20T00:00:00Z,N,Short_old,Wet_Meadow,Carex_spp.,NA,Absence_,Browse,447510,4472353,2,N,NA,NA,All_pins_present.
WC,21,WC21,Horseshoe_Park,2018-06-20T00:00:00Z,N,Short_old,Riparian_,Bromus_spp.,NA,Absence_,Browse,447623,4472377,2,N,NA,NA,All_pins_present.
WC,22,WC22,Horseshoe_Park,2018-06-20T00:00:00Z,N,Tall,Riparian_,Carex_spp.,NA,Absence_,Browse/Tracks,446983,4472334,3,N,NA,NA,All_pins_present._South_pin_is_buried_about_3_inches_west_pin_in_a_large_SAMO_(can_be_hard_to_find)_area_is_very_wet
WC,23,WC23,Horseshoe_Park,2018-06-20T00:00:00Z,N,Short_old,Dry_Meadow_,Bromus_spp.,Carex_spp.,Absence_,Browse,448498,4472431,3,N,NA,NA,All_pins_present._River_too_high_to_cross_and_access_from_Hwy_34._Need_to_park_at_west_end_of_horseshoe_and_hike_in_about_1_mile._We_followed_the_treeline/meadow_to_the_plot_and_it_took_about_45_minutes._
WC,24,WC24,Moraine_Park,2018-07-05T00:00:00Z,Y,Intermediate,Dry_Meadow_,Carex_spp.,NA,Absence_,Absence_,448869,4467197,2,Y,2012,Moderately_to_Completely,All_pins_present.
WC,25,WC25,Moraine_Park,2018-07-05T00:00:00Z,Y,Intermediate,Dry_Meadow_,Bromus_spp.,NA,Absence_,Absence_,448775,4467204,3,Y,2012,Moderately_to_Completely,All_pins_present._W_pin_in_group_of_willows
WC,26,WC26,Moraine_Park,2018-07-05T00:00:00Z,Y,Short_young,Dry_Meadow_,Bromus_spp.,NA,Absence_,Absence_,448601,4467122,3,Y,2012,Moderately_,All_pins_present.
WC,27,WC27,Moraine_Park,2018-07-05T00:00:00Z,Y,No_willow,Dry_Meadow_,Agrostis_spp.,NA,Absence_,Absence_,448429,4467243,1,Y,2012,Completely,All_pins_present.
WC,28,WC28,Moraine_Park,2018-07-05T00:00:00Z,Y,Intermediate,Dry_Meadow_,Bromus_spp.,NA,Absence_,Absence_,448534,4467209,2,Y,2012,Moderately_to_Completely,All_pins_present.
WC,29,WC29,Moraine_Park,2018-07-05T00:00:00Z,Y,No_willow,Dry_Meadow_,Bromus_inermis,Calamagrostis_spp._,Absence_,Absence_,447975,4467463,3,Y,2012,Completely,All_pins_present._Also_found_an_extra_N_pin_that_was_off_from_the_plot_so_we_removed_it
WC,30,WC30,Moraine_Park,2018-07-03T00:00:00Z,Y,Short_young,Dry_Meadow_,Carex_spp.,Juncus_spp.,Absence_,Browse,447528,4467447,NA,Y,2012,Moderately_to_Completely,All_pins_present._S_pin_in_drainage_and_about_1ft_out_of_ground
WC,31,WC31,Moraine_Park,2018-07-03T00:00:00Z,N,Short_young,Dry_Meadow_,Poa_pratensis,NA,Absence_,Absence_,448190,4467015,3,N,NA,Not_Burned,All_pins_present.
WC,32,WC32,Moraine_Park,2018-07-03T00:00:00Z,N,No_willow,Dry_Meadow_,Poa_pratensis,Bromus_inermis,Absence_,Absence_,447941,4467022,3,N,NA,Not_Burned,All_pins_present.
WC,34,WC34,Moraine_Park,2018-07-05T00:00:00Z,N,Short_young,Dry_Meadow_,Bromus_spp.,NA,Absence_,Browse,449274,4466827,2,Y,2012,Completely,All_pins_present.
WC,35,WC35,Moraine_Park,2018-07-03T00:00:00Z,N,No_willow,Dry_Meadow_,Phleum_pratense,NA,Absence_,Absence_,448431,4466681,3,Y,2012,Completely,All_pins_present._Plot_in_open_grassy_area_to_the_north_of_two_small_exclosures
WC,36,WC36,Upper_Beaver_Meadows,2018-06-26T00:00:00Z,Y,No_willow,Wet_Meadow,Carex_spp.,NA,Absence_,Absence_,448190,4469123,5,N,NA,NA,All_pins_present_and_about_8_inches_above_ground.
WC,37,WC37,Moraine_Park,2018-07-06T00:00:00Z,Y,Intermediate,Dry_Meadow_,Poa_spp.,Carex_spp.,Absence_,Absence_,449532,4466813,2,Y,2012,Completely,All_pins_present.
WC,38,WC38,Moraine_Park,2018-07-06T00:00:00Z,Y,Intermediate,Dry_Meadow_,Juncus_arcticus,NA,Absence_,Absence_,449906,4466871,3,Y,2012,Completely,All_pins_present._Plot_along_fishermans_trail
WC,39,WC39,Moraine_Park,2018-07-06T00:00:00Z,N,Tall,Wet_Meadow,Juncus_arcticus,NA,Absence_,Browse,450405,4467180,1,N,NA,Not_Burned,All_pins_present.
WC,40,WC40,Upper_Beaver_Meadows,2018-06-26T00:00:00Z,Y,Short_young,Wet_Meadow,Carex_spp.,NA,Absence_,Absence_,448848,4469350,2.7,N,NA,NA,All_pins_present._E_N_W_pins_reset._Info_carved_onto_W_pin_a_little_difficult_to_read_located_in_middle_of_river_sticking_out_of_water_1_2_ft_from_water._N_pin_also_located_in_water_sticking_out_1ft._Beaver_den_possibly_near_the_beavers_food_cache._
WC,41,WC41,Upper_Beaver_Meadows,2018-07-19T00:00:00Z,Y,Intermediate,Riparian_,Bromus_inermis,NA,Food_cache_cuttings,Absence_,449195,4468959,3,N,NA,NA,All_pins_present.
WC,42,WC42,Upper_Beaver_Meadows,2018-06-26T00:00:00Z,Y,Intermediate,Wet_Meadow,Juncus_spp.,Poa_spp.,Absence_,Absence_,449605,4468709,8,N,NA,NA,All_pins_present_but_difficult_to_find_use_reference_photos._Rubber_boots_not_needed
WC,43,WC43,Upper_Beaver_Meadows,2018-06-26T00:00:00Z,N,No_willow,Wet_Meadow,Bromus_spp.,Carex_spp.,Absence_,Browse,449474,4468791,5,N,NA,NA,All_pins_present._
WC,44,WC44,Upper_Beaver_Meadows,2018-06-26T00:00:00Z,N,Short_young,Dry_Meadow_,Juncus_arcticus,NA,Absence_,Absence_,448910,4469156,2.7,N,NA,NA,All_pins_present.
WC,45,WC45,Endovalley,2018-06-15T00:00:00Z,N,Tall,Riparian_,Equisetum_spp,Bromus_spp.,Absence_,Browse,446261,4473006,NA,N,NA,NA,All_pins_present._E_pin_was_buried_site_was_flooded_at_some_point_and_has_conifer_trees_growing_in_it
WC,46,WC46,Horseshoe_Park,2018-06-19T00:00:00Z,N,Short_young,Wet_Meadow,Calamagrostis_spp.,Carex_spp.,Absence_,Browse_tracks,447046,4472273,NA,N,NA,NA,All_pins_present.
WC,47,WC47,Horseshoe_Park,2018-06-20T00:00:00Z,N,Tall,Dry_Meadow_,NA,NA,Absence_,Browse,447376,4472311,4,N,NA,NA,All_pins_present.
