DATE,SITE_TYPE,SITE_NUMBER,SITE_ID,SPECIES_CODE,SHRUB_INTERCEPT_START_M,SHRUB_INTERCEPT_STOP_M,MAX_HEIGHT_CM,DEAD,BROWSED,INTERCEPT_LENGTH_M,GENUS
2008-10-14T00:00:00Z,WC,1,WC1,SAMO,0.2,1.2,NA,NA,NA,1,willow
2008-10-14T00:00:00Z,WC,1,WC1,SAMO,4.5,5.1,70,N,N,0.5999999999999996,willow
2008-10-14T00:00:00Z,WC,2,WC2,DAFR,1.1,1.5,50,N,N,0.3999999999999999,nonwillow
2008-10-14T00:00:00Z,WC,2,WC2,SAMO,0.2,0.5,40,N,N,0.3,willow
2008-10-14T00:00:00Z,WC,2,WC2,SAMO,0.8,0.9,50,N,N,0.09999999999999998,willow
2008-10-14T00:00:00Z,WC,2,WC2,SAMO,1.9,2.2,65,N,Y,0.30000000000000027,willow
2008-10-14T00:00:00Z,WC,2,WC2,SAMO,2.4,2.6,40,N,Y,0.20000000000000018,willow
2008-10-14T00:00:00Z,WC,2,WC2,SAMO,3.2,3.7,80,N,Y,0.5,willow
2008-10-14T00:00:00Z,WC,2,WC2,SAMO,4.1,4.3,50,N,Y,0.20000000000000018,willow
2008-10-14T00:00:00Z,WC,2,WC2,SAMO,4.4,5,110,N,Y,0.5999999999999996,willow
2008-10-14T00:00:00Z,WC,2,WC2,SAMO,5,5.3,50,N,Y,0.2999999999999998,willow
2008-10-14T00:00:00Z,WC,3,WC3,BEGL,0.2,0.5,30,N,Y,0.3,nonwillow
2008-10-14T00:00:00Z,WC,3,WC3,BEGL,0.9,1.5,40,N,N,0.6,nonwillow
2008-10-14T00:00:00Z,WC,3,WC3,DAFR,3.5,4.7,90,N,N,1.2000000000000002,nonwillow
2008-10-14T00:00:00Z,WC,3,WC3,SAMO,3.2,3.6,95,N,Y,0.3999999999999999,willow
2008-10-14T00:00:00Z,WC,3,WC3,SAPL,4.8,5.1,95,N,Y,0.2999999999999998,willow
2008-10-14T00:00:00Z,WC,3,WC3,SAPL,5.2,5.6,70,N,Y,0.39999999999999947,willow
2008-10-14T00:00:00Z,WC,4,WC4,SAMO,0,0.5,70,NA,NA,0.5,willow
2008-10-14T00:00:00Z,WC,4,WC4,SAMO,3.2,3.8,70,NA,NA,0.5999999999999996,willow
2008-10-14T00:00:00Z,WC,4,WC4,SAMO,4.1,4.9,94,NA,NA,0.8000000000000007,willow
2008-10-14T00:00:00Z,WC,4,WC4,SAMO,4.6,5.6,190,NA,NA,1,willow
2008-10-15T00:00:00Z,WC,5,WC5,SAMO,0.9,1.5,40,N,Y,0.6,willow
2008-10-15T00:00:00Z,WC,5,WC5,SAMO,2.1,2.2,20,N,N,0.10000000000000009,willow
2008-10-15T00:00:00Z,WC,5,WC5,SAMO,4.7,5.2,110,N,Y,0.5,willow
2008-10-15T00:00:00Z,WC,5,WC5,SAMO,5.2,5.6,140,N,Y,0.39999999999999947,willow
2008-10-15T00:00:00Z,WC,6,WC6,NONE,NA,NA,NA,NA,NA,NA,NA
2008-10-15T00:00:00Z,WC,7,WC7,SAMO,4,5.6,120,N,N,1.5999999999999996,willow
2008-10-15T00:00:00Z,WC,8,WC8,SAGE,5,5.1,30,N,N,0.09999999999999964,willow
2008-10-15T00:00:00Z,WC,8,WC8,SAMO,2.4,2.5,25,N,N,0.10000000000000009,willow
2008-10-15T00:00:00Z,WC,8,WC8,SAMO,2.7,2.9,40,N,N,0.19999999999999973,willow
2008-10-15T00:00:00Z,WC,8,WC8,SAMO,4.7,4.8,30,N,N,0.09999999999999964,willow
2008-10-15T00:00:00Z,WC,8,WC8,SAPL,4.2,4.4,25,N,N,0.20000000000000018,willow
2008-10-15T00:00:00Z,WC,9,WC9,SAMO,1.9,2.4,70,N,Y,0.5,willow
2008-10-15T00:00:00Z,WC,9,WC9,SAMO,4.8,5.4,90,N,Y,0.6000000000000005,willow
2008-10-16T00:00:00Z,WC,10,WC10,SAMO,0,2.5,120,N,NA,2.5,willow
2008-10-16T00:00:00Z,WC,10,WC10,SAMO,3.2,4.5,140,N,Y,1.2999999999999998,willow
2008-10-16T00:00:00Z,WC,10,WC10,SAMO,4.7,5.6,145,N,Y,0.8999999999999995,willow
2008-10-16T00:00:00Z,WC,11,WC11,SAMO,1.6,1.8,25,N,N,0.19999999999999996,willow
2008-10-16T00:00:00Z,WC,11,WC11,SAMO,2.1,2.3,25,N,N,0.19999999999999973,willow
2008-10-16T00:00:00Z,WC,11,WC11,SAPL,3.1,4.7,150,N,N,1.6,willow
2008-10-16T00:00:00Z,WC,12,WC12,SAGE,0,0.5,70,N,N,0.5,willow
2008-10-16T00:00:00Z,WC,12,WC12,SAGE,2.1,2.3,3,N,Y,0.19999999999999973,willow
2008-10-16T00:00:00Z,WC,12,WC12,SAGE,3,5.5,245,N,N,2.5,willow
2008-10-20T00:00:00Z,WC,13,WC13,BEOC,4.9,5.6,320,N,N,0.6999999999999993,nonwillow
2008-10-20T00:00:00Z,WC,13,WC13,SAGE,3.8,4.5,90,N,Y,0.7000000000000002,willow
2008-10-20T00:00:00Z,WC,13,WC13,SAMO,0.8,2,130,N,N,1.2,willow
2008-10-20T00:00:00Z,WC,13,WC13,SAMO,4.9,5.6,320,N,N,0.6999999999999993,willow
2008-10-21T00:00:00Z,WC,14,WC14,SAMO,5.5,5.6,20,N,N,0.09999999999999964,willow
2008-10-20T00:00:00Z,WC,15,WC15,SAGE,3.8,5.4,140,N,N,1.6000000000000005,willow
2008-10-20T00:00:00Z,WC,15,WC15,SAMO,4.6,5.1,60,N,N,0.5,willow
2008-10-20T00:00:00Z,WC,15,WC15,SAPL,1.3,1.9,90,N,N,0.5999999999999999,willow
2008-10-16T00:00:00Z,WC,16,WC16,SAMO,0,1,80,NA,NA,1,willow
2008-10-16T00:00:00Z,WC,16,WC16,SAMO,1.2,2.5,70,NA,NA,1.3,willow
2008-10-16T00:00:00Z,WC,16,WC16,SAMO,3.4,3.6,30,NA,NA,0.20000000000000018,willow
2008-10-21T00:00:00Z,WC,17,WC17,NONE,NA,NA,NA,NA,NA,NA,NA
2008-10-21T00:00:00Z,WC,18,WC18,SAGE,5.5,5.6,15,N,N,0.09999999999999964,willow
2008-10-21T00:00:00Z,WC,18,WC18,SAMO,5.5,5.6,10,N,N,0.09999999999999964,willow
2008-10-21T00:00:00Z,WC,19,WC19,SAMO,0.9,1.7,315,N,N,0.7999999999999999,willow
2008-10-21T00:00:00Z,WC,19,WC19,SAMO,4.2,5.6,360,N,N,1.3999999999999995,willow
2008-10-22T00:00:00Z,WC,20,WC20,SAMO,0,0.8,NA,N,N,0.8,willow
2008-10-22T00:00:00Z,WC,20,WC20,SAMO,1.2,1.3,30,N,Y,0.10000000000000009,willow
2008-10-22T00:00:00Z,WC,20,WC20,SAMO,3,3.4,50,N,N,0.3999999999999999,willow
2008-10-22T00:00:00Z,WC,20,WC20,SAMO,4,4.4,45,N,N,0.40000000000000036,willow
2008-10-22T00:00:00Z,WC,21,WC21,SAMO,0.4,2.2,440,N,Y,1.8000000000000003,willow
2008-10-22T00:00:00Z,WC,21,WC21,SAMO,3.6,3.7,20,N,N,0.10000000000000009,willow
2008-10-22T00:00:00Z,WC,21,WC21,SAMO,4.1,4.2,15,NA,NA,0.10000000000000053,willow
2008-10-22T00:00:00Z,WC,22,WC22,SAMO,0,2.4,NA,N,N,2.4,willow
2008-10-22T00:00:00Z,WC,22,WC22,SAMO,3.6,4.7,165,NA,NA,1.1,willow
2008-10-23T00:00:00Z,WC,23,WC23,DAFR,2.7,4,20,NA,NA,1.2999999999999998,nonwillow
2008-10-23T00:00:00Z,WC,23,WC23,SAGE,1,1.4,40,NA,NA,0.3999999999999999,willow
2008-10-23T00:00:00Z,WC,23,WC23,SAMO,0.2,0.9,40,NA,NA,0.7,willow
2008-10-23T00:00:00Z,WC,23,WC23,SAMO,2.3,2.7,35,NA,NA,0.40000000000000036,willow
2008-10-23T00:00:00Z,WC,23,WC23,SAMO,2.8,3.1,20,NA,NA,0.30000000000000027,willow
2008-10-23T00:00:00Z,WC,24,WC24,SAMO,2.7,2.8,10,N,Y,0.09999999999999964,willow
2008-10-23T00:00:00Z,WC,24,WC24,SAMO,3.7,3.9,15,N,Y,0.19999999999999973,willow
2008-10-23T00:00:00Z,WC,25,WC25,NONE,NA,NA,NA,NA,NA,NA,NA
2008-10-23T00:00:00Z,WC,26,WC26,DAFR,0.5,1,5,N,N,0.5,nonwillow
2008-10-23T00:00:00Z,WC,26,WC26,DAFR,1.5,1.7,45,N,N,0.19999999999999996,nonwillow
2008-10-23T00:00:00Z,WC,26,WC26,DAFR,4.9,5.2,50,N,N,0.2999999999999998,nonwillow
2008-10-27T00:00:00Z,WC,27,WC27,DAFR,3.8,4.5,65,NA,NA,0.7000000000000002,nonwillow
2008-10-27T00:00:00Z,WC,28,WC28,DAFR,0.3,0.9,50,NA,NA,0.6000000000000001,nonwillow
2008-10-27T00:00:00Z,WC,28,WC28,DAFR,1,1.3,40,NA,NA,0.30000000000000004,nonwillow
2008-10-27T00:00:00Z,WC,28,WC28,DAFR,1.6,2.4,50,NA,NA,0.7999999999999998,nonwillow
2008-10-27T00:00:00Z,WC,28,WC28,DAFR,3.1,3.7,40,NA,NA,0.6000000000000001,nonwillow
2008-10-27T00:00:00Z,WC,28,WC28,DAFR,5.1,5.6,50,NA,NA,0.5,nonwillow
2008-10-27T00:00:00Z,WC,29,WC29,NONE,NA,NA,NA,NA,NA,NA,NA
2008-10-27T00:00:00Z,WC,30,WC30,DAFR,0,0.7,85,NA,NA,0.7,nonwillow
2008-10-27T00:00:00Z,WC,30,WC30,DAFR,3.6,3.8,75,NA,NA,0.19999999999999973,nonwillow
2008-10-27T00:00:00Z,WC,30,WC30,DAFR,3.9,4.6,80,NA,NA,0.6999999999999997,nonwillow
2008-10-27T00:00:00Z,WC,30,WC30,SAMO,5.3,5.5,60,N,Y,0.20000000000000018,willow
2008-10-28T00:00:00Z,WC,31,WC31,DAFR,0.5,1.1,50,N,NA,0.6000000000000001,nonwillow
