SITE_TYPE,SITE_NUMBER,SITE_ID,FENCED,DOMINANT_WILLOW_TYPE,ECOSYSTEM_TYPE,PREDOMINANT_HERB_SPECIES_1,PREDOMINANT_HERB_SPECIES_2,BEAVER_PRESENCE,UTM_E_NAD83,UTM_N_NAD83,GPS_ACCURACY_M,BURNED,BURN_YEAR,COMMENTS
WC,1,2013-08-08T00:00:00Z,Y,short_old,Wet_Meadow,Carex_sp._(utriculata_(?),NA,absence,NA,NA,NA,N,NA,S_pin_missing
WC,2,2013-06-28T00:00:00Z,Y,short_young,Wet_Meadow,Blue_Green_poa_sp.,Chamerion_danielsii,absence,NA,NA,NA,N,NA,Predominant_herbaceous_either_Calamagrostis_Canadensis_or_Phleum_Preatense
WC,3,2013-06-27T00:00:00Z,Y,Intermediate,Wet_Meadow,Petasites_sagittata,Traxacom_official,NA,NA,NA,NA,N,NA,"Near_a_spruce,_N_&_W_pins_switched_to_correct."
WC,4,2013-06-26T00:00:00Z,Y,Intermediate,Riparian,Chamerion_danklsil,Poaceae_sp.,NA,NA,NA,NA,N,NA,NA
WC,5,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,removed_2012__too_close_to_fence
WC,6,2013-08-08T00:00:00Z,Y,short_young,Riparian,Poaceae_sp.,NA,absence,NA,NA,NA,N,NA,NA
WC,7,2013-07-31T00:00:00Z,Y,Intermediate,Dry_Meadow,Phleum_pratense,Thermopsis_divaricarpa,absence,NA,NA,NA,N,NA,Very_close_to_fence_(on_inside)
WC,8,2013-08-06T00:00:00Z,Y,short_young,Riparian,Juncus_Saximontanous,NA,absence,NA,NA,NA,N,NA,"Additional_ecosystem_type:_dry_meadow._E,_S,_W_pins_missing"
WC,9,2013-08-09T00:00:00Z,Y,Intermediate,Wet_Meadow,Juncus_arcticus,NA,absence,447088,4472638,NA,N,NA,UTMs_in_GPS_are_way_wrong_(300m)_Site_located_after_referring_to_baseline_UTM's.
WC,10,2013-06-26T00:00:00Z,Y,Intermediate,Riparian,Mertensia_ailiata,Maianthemum_amplexicaule,cuttings,NA,NA,NA,N,NA,All_pins_found___it's_a_jungle_down_there!
WC,11,2013-08-02T00:00:00Z,Y,short_young,Dry_Meadow,Juncus_sp.,NA,absence,NA,NA,NA,N,NA,Additional_Ecosystem_Type:_Dry_rocky
WC,12,2013-08-02T00:00:00Z,N,Intermediate,Riparian,Calamagrostis_canadensis,NA,absence,445197,4473444,3,N,NA,UTM's_are_25'_off._Refer_to_2013_datasheet_for_updated_UTM's
WC,13,2013-07-31T00:00:00Z,N,short_old,Marsh,Phleum_pratense,NA,absence,NA,NA,NA,N,NA,Requires_longer_rebar_on_all_pins
WC,14,2013-08-06T00:00:00Z,N,short_young,Wet_Meadow,Phleum_pratense,Juncus_balticus,NA,NA,NA,NA,N,NA,NA
WC,15,2013-08-02T00:00:00Z,N,Intermediate,Riparian,Poaceae_sp.,Phleum_Pratense,absence,445041,4473531,11,N,NA,"Elk_presence:_cuttings,_tracks,_droppings_UTMs_54'_off,_See_2013_datasheet_for_updated_UTMs."
WC,16,2013-06-26T00:00:00Z,Y,short_young,Marsh,Carex_aquatilis,Poaceae_sp.,absence,447183,4472433,7.2,N,NA,E_&_N_pins_are_JUST_inside_the_oxbow/sedgery_area_underwater
WC,17,2013-07-25T00:00:00Z,N,short_young,Riparian,Calamagrostis_canadensis,NA,dam/lodge,NA,NA,NA,N,NA,West_pin_missing
WC,18,2013-08-06T00:00:00Z,N,NA,Wet_Meadow,Carex_aquatilis,NA,absence,NA,NA,NA,N,NA,NA
WC,19,2013-06-26T00:00:00Z,N,Tall,Dry_Meadow,Bromus_inermis,Poa_pratense,absence,NA,NA,NA,N,NA,All_pins_in_place
WC,20,2013-06-27T00:00:00Z,N,short_old,Riparian,Carex_sp.,Poaceae_sp.,absence,447509,4472355,7.6,N,NA,N_pin_cap_missing_&_accompanying_rebar_too_short._All_other_pins_OK.
WC,21,2013-06-27T00:00:00Z,N,short_old,Riparian,Poaceae_sp.,NA,absence,447625,4472380,6.8,N,NA,"S_pin:_cap_missing._All_4_pins:_require_longer_rebar._N_&_E_caps_fell_off,_rebar_buried."
WC,22,2013-06-26T00:00:00Z,N,Tall,Marsh,Carex_sp.,Poaceae_sp.,absence,446977,4472334,6.7,N,NA,NA
WC,23,2013-06-27T00:00:00Z,N,short_old,Dry_Meadow,Poa_Pratense,Carex_sp.,NA,NA,NA,NA,N,NA,"Baseline_stated_wet_marsh,_now_dry_marsh."
WC,24,2013-07-23T00:00:00Z,N,NA,Riparian,Calamagrostis_canadensis,NA,absence,NA,NA,NA,Y,2012,NA
WC,25,2013-07-16T00:00:00Z,N,short_young,Dry_Meadow,Galium_septentrionale,Thermopsis,absence,NA,NA,NA,Y,2012,NA
WC,26,2013-07-16T00:00:00Z,N,NA,Dry_Meadow,Fragaria_virginiana,Thermopsis_divaricarpa_(or_montana),NA,NA,NA,NA,Y,2012,Very_diverse_herbaceous_with_lots_of_Galium._Pins_all_OK_as_of_7/16/2013
WC,27,2013-07-16T00:00:00Z,N,NA,Dry_Meadow,Mulenbergia,NA,NA,NA,NA,NA,Y,2012,All_pins_OK_as_of_7/16/2013
WC,28,2013-07-16T00:00:00Z,N,short_young,Dry_Meadow,Indian_Rice_Grass_(?),Achnathcrum_hymenoides,NA,NA,NA,NA,Y,2012,All_previous_willow_dead_due_to_fire._2013_sampled_willow_is_short/young
WC,29,2013-08-01T00:00:00Z,N,No_Willow,Dry_Meadow,Poa_Pratense,NA,absence,NA,NA,NA,Y,2012,"Missing_E_pin,_W_pin_and_N_pin_should_be_switched_if_not_done_so_already_"
WC,30,2013-08-06T00:00:00Z,N,short_young,Fen,Phleum_pratense,NA,absence,NA,NA,NA,Y,2012,"N_pin_&_accompanying_rebar_reconned_due_to_incorrect_sizing;_still_needs_to_be_replaced._W_pin_requires_longer_rebar._Site_100%_burned,_nearly_all_willow_this_year's_growth"
WC,31,2013-07-16T00:00:00Z,N,short_young,Dry_Meadow,Phleum_commutatum,stachys,NA,NA,NA,NA,N,NA,"Additional_herbaceous_species:_Harebell._Not_highly_impacted_by_fire,_could_be_included_in_regular_analysis"
WC,32,2013-07-16T00:00:00Z,N,No_Willow,Dry_Meadow,Bromus_inermis,Artemesia_frigida,NA,NA,NA,NA,N,NA,NA
WC,33,2013-08-06T00:00:00Z,N,Intermediate,Riparian,Calamagrostis_canadensis,NA,absence,NA,NA,NA,N,NA,N_pin_&_accompanying_rebar_has_been_washed_away_by_stream._A_challenge_to_get_to.
WC,34,2013-07-16T00:00:00Z,N,No_Willow,Wet_Meadow,Calamagrostis_canadensis,NA,NA,NA,NA,NA,Y,2012,All_pins_require_epoxy
WC,35,2013-08-08T00:00:00Z,N,No_Willow,Wet_Meadow,Calamagrostis_canadensis,Phleum_Pratense,absence,NA,NA,NA,Y,2012,"100%_burned,_no_willows"
WC,36,2013-06-25T00:00:00Z,N,No_Willow,Wet_Meadow,Poaceae_sp.,NA,absence,448191,4469121,7,N,NA,NA
