SITE_TYPE,SITE_NUMBER,SITE_ID,LOCATION,DATE,FENCED,DOMINANT_WILLOW_TYPE,ECOSYSTEM_TYPE,PREDOMINANT_HERB_SPECIES_1,PREDOMINANT_HERB_SPECIES_2,BEAVER_PRESENCE,BURNED,BURN_YEAR,BURN_SEVERITY,COMMENTS
WC,35,WC35,Moraine_Park,2015-07-15T00:00:00Z,N,no_willow,wet_meadow,Bromus_inermis,NA,none,Y,2012,Completely,All_pins_present
WC,37,WC37,Moraine_Park,2015-07-15T00:00:00Z,Y,short_young,riparian,Poa_spp.,NA,none,Y,2012,Completely,All_pins_present
WC,38,WC38,Moraine_Park,2015-07-15T00:00:00Z,Y,short_young,wet_meadow,Phleum_pratense,NA,none,Y,2012,Completely,All_pins_present
WC,55,WC55,Moraine_Park,2015-07-15T00:00:00Z,N,short_old,wet_meadow,Phleum_pratense,Arnica_discoidea,none,Y,2012,Moderately_to_Completely,All_pins_present
WC,56,WC56,Moraine_Park,2015-07-15T00:00:00Z,N,no_willow,wet_meadow,Bromus_inermis,NA,none,Y,2012,Completely,All_pins_present
WC,57,WC57,Moraine_Park,2015-07-15T00:00:00Z,N,sapling,riparian,Carex_spp.,NA,none,Y,2012,Moderately_to_Completely,W_and_S_pins_buried
WC,62,WC62,Moraine_Park,2015-07-13T00:00:00Z,N,intermediate,riparian,Carex_spp.,Juncus_spp.,none,N,NA,Not_Burned,All_pins_present
WC,64,WC64,Moraine_Park,2015-07-14T00:00:00Z,Y,intermediate,riparian,Carex_spp.,NA,none,N,NA,Not_Burned,All_pins_present
WC,65,WC65,Moraine_Park,2015-07-14T00:00:00Z,Y,intermediate,riparian,Carex_spp.,NA,none,N,NA,Not_Burned,All_pins_present
WC,66,WC66,Moraine_Park,2015-07-14T00:00:00Z,Y,intermediate,riparian,Carex_spp.,Juncus_spp.,none,N,NA,Not_Burned,All_pins_present
WC,67,WC67,Moraine_Park,2015-07-20T00:00:00Z,Y,intermediate,riparian,Bromus_inermis,NA,none,N,NA,Not_Burned,All_pins_present
WC,68,WC68,Moraine_Park,2015-07-13T00:00:00Z,N,short_young,riparian,Poa_spp.,Phleum_pratense,none,N,NA,Not_Burned,All_pins_present
WC,69,WC69,Moraine_Park,2015-07-13T00:00:00Z,N,intermediate,riparian,Bromus_inermis,Heracleum_spp.,none,N,NA,Not_Burned,All_pins_present
WC,70,WC70,Moraine_Park,2015-07-20T00:00:00Z,N,tall,riparian,Bromus_inermis,Cirsium_arvense,none,N,NA,Not_Burned,All_pins_present
WC,71,WC71,Moraine_Park,2015-07-15T00:00:00Z,N,intermediate,riparian,Bromus_inermis,NA,none,N,NA,Not_Burned,NA
WC,72,WC72,Moraine_Park,2015-07-20T00:00:00Z,N,tall,riparian,Bromus_inermis,NA,none,N,NA,Not_Burned,All_pins_present
WC,74,WC74,Moraine_Park,2015-07-13T00:00:00Z,N,intermediate,riparian,Phleum_pratense,Geranium_richardsonii,none,N,NA,Not_Burned,All_pins_present._Wood_lily_10m_S_of_W_pin
WC,76,WC76,Moraine_Park,2015-07-16T00:00:00Z,Y,short_old,riparian,Bromus_inermis,NA,none,Y,2012,Completely,All_pins_present._Willow_stakes_planted_in_plot_and_sprouting_new_growth
WC,79,WC79,Moraine_Park,2015-07-16T00:00:00Z,Y,short_young,wet_meadow,Bromus_inermis,NA,none,Y,2012,Completely,All_pins_present
WC,80,WC80,Moraine_Park,2015-07-16T00:00:00Z,N,short_young,wet_meadow,Bromus_inermis,NA,none,Y,2012,Completely,S_pin_missing
WC,81,WC81,Moraine_Park,2015-07-20T00:00:00Z,N,short_old,riparian,Phleum_pratense,NA,none,Y,2012,Completely,All_pins_present
WC,82,WC82,Moraine_Park,2015-07-16T00:00:00Z,N,short_young,riparian,Phleum_pratense,NA,none,Y,2012,Completely,All_pins_present
WC,83,WC83,Moraine_Park,2015-07-16T00:00:00Z,N,short_old,riparian,Bromus_inermis,Phleum_pratense,none,Y,2012,Completely,All_pins_present
WC,86,WC86,Moraine_Park,2015-07-15T00:00:00Z,Y,intermediate,riparian,Bromus_inermis,NA,none,Y,2012,Moderately_to_Completely,All_pins_present
